Name,Created,Tags
⟣♡⟢ 𝔏𝔲𝔪𝔦 ⟣♡⟢,"February 9, 2026 8:54 PM",Sorcerer
A'valon,"February 21, 2026 2:35 PM",Wizard
Alphard Serpens,"February 5, 2026 7:13 PM",Rogue
Aris Kindt,"February 10, 2026 8:34 PM",Rogue
"Bjornhakar, L'Orso Senza Ombra","February 5, 2026 4:19 PM",Druid
Daphne Cecile,"February 9, 2026 10:25 AM",Wizard
Issahnya,"February 23, 2026 12:43 PM",Barbarian
Ivarek Stivkan,"February 12, 2026 4:50 PM",
Iza'Nahk,"February 19, 2026 10:00 PM",Sorcerer
Kai’ Reth,"February 4, 2026 12:21 PM",Ranger
"Kureha, il Sussurro Lunare","February 4, 2026 12:22 PM",Bard
Lilith Zaarenhia,"February 10, 2026 8:36 PM",Wizard
Lyn,"February 5, 2026 5:20 PM",Druid
Maeve,"February 6, 2026 4:52 PM",Rogue
"MARVIL, Un segreto pungente da non toccare 🥀","February 6, 2026 4:58 PM",Sorcerer
"Mercer, Cacciatore Ramingo","February 5, 2026 4:18 PM",Fighter
"Nagiyori, Il Vento dell’Equilibrio","February 7, 2026 11:09 PM",Monk
Nalcā,"February 8, 2026 12:58 PM",Bard
Nebula,"March 10, 2026 2:07 PM",Warlock
Nerivelle Drownedryn,"February 4, 2026 12:21 PM",Barbarian
"Nyxara ""La Coppa Cremisi""","March 10, 2026 2:04 PM",Bard
Okhse,"February 12, 2026 10:09 PM",Ranger
Phonaria,"March 10, 2026 2:09 PM",Paladin
Pippo lo Strambo,"February 9, 2026 10:10 PM",Artificer
Puffy,"February 5, 2026 4:20 PM",Sorcerer
Rehfaari,"February 23, 2026 12:50 PM",Sorcerer
"Sarkhan, Brace Perenne","February 4, 2026 12:44 PM",Barbarian
Shison Feezz,"March 10, 2026 2:10 PM",Cleric
"Sok'haanj, la pira di popoli","February 6, 2026 4:50 PM",Sorcerer
Thalir,"February 6, 2026 12:17 PM",Ranger
Valerius,"February 4, 2026 12:22 PM",Paladin
Varv Ihdriss,"February 7, 2026 10:27 PM",Monk
Yabu Booyagh,"March 5, 2026 5:39 PM",Warlock
Yukio - L'araldo delle nevi,"February 6, 2026 4:48 PM",Cleric
Yuri,"March 5, 2026 5:43 PM",
Zaabanya,"February 23, 2026 12:41 PM",Warlock
Zelrer,"February 16, 2026 11:46 AM",Rogue
Zoe,"February 8, 2026 11:24 AM",Warlock
