Name,Created,Tags
Asceso (Darkin),"January 28, 2026 10:42 PM",
Asceso (Shurima),"January 28, 2026 10:52 PM",
Asceso (Targon),"January 28, 2026 11:05 PM",
Celestiale,"January 28, 2026 11:09 PM",
Spirito di Ionia,"January 28, 2026 11:12 PM",
Succube / Incubo,"February 6, 2026 8:30 PM",
Potenziato (Chemtech),"January 28, 2026 11:19 PM",
Potenziato (Hextech),"January 28, 2026 11:20 PM",
"Yordle (Anfibio) ","January 28, 2026 11:30 PM",
Yordle (Foreste),"January 28, 2026 11:29 PM",
Yordle (Inventore),"January 28, 2026 11:30 PM",
Vastaya (Anfibio),"January 28, 2026 11:20 PM",
Vastaya (Bestia),"January 28, 2026 11:28 PM",
Vastaya (Cacciatore Silente),"January 28, 2026 11:29 PM",
Vastaya (Corazzato),"January 28, 2026 11:29 PM",
Vastaya (Leporide),"January 28, 2026 11:29 PM",
Vastaya (Spiritico),"February 2, 2026 9:48 PM",
Vastaya (Predatore),"January 28, 2026 11:29 PM",
Vastaya (Volatile),"January 28, 2026 11:29 PM",
Voidborn,"January 28, 2026 11:17 PM",
